state,state_category
Sikkim,North-East
Andaman & Nicobar Island,South
Arunachal Pradesh,North-East
Assam,North-East
Chhattisgarh,Central
DNH and DD,West
Jammu and Kashmir,North
Ladakh,North
Manipur,North-East
Meghalaya,North-East
Mizoram,North-East
Nagaland,North-East
Puducherry,South
Tripura,North-East
Bihar,East
Chandigarh,North
Delhi,North
Madhya Pradesh,Central
Odisha,East
Punjab,North
Uttarakhand,North
Himachal Pradesh,North
Haryana,North
Jharkhand,East
Andhra Pradesh,South
Goa,West
Gujarat,West
Karnataka,South
Kerala,South
Maharashtra,West
Rajasthan,West
Tamil Nadu,South
Uttar Pradesh,North
